,Pokedex_number,Name,Evolution,Base_type,Secondary_type,Abilities,Number_of_Abilities,Combination,Generation,Legendary,Attack,Defense,Hp,Sp_attack,Sp_defense,Speed,Height_m,Weight_kg,Against_bug,Against_dark,Against_dragon,Against_electric,Against_fairy,Against_fight,Against_fire,Against_flying,Against_ghost,Against_grass,Against_ground,Against_ice,Against_normal,Against_poison,Against_psychic,Against_rock,Against_steel,Against_water,Base_egg_steps,Base_happiness,Base_total,Capture_rate,Experience_growth
255,256,Combusken,Final Form,Fire,Fighting,"['Blaze', 'Speed Boost']",2,"Fire, Fighting",3.0,0.0,85,60,60,85,60,55,0.9,19.5,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,5120.0,70.0,405,45,1059860.0
256,257,Blaziken,Blaziken,Fire,Fighting,"['Blaze', 'Speed Boost']",2,"Fire, Fighting",3.0,0.0,160,80,80,130,80,100,1.9,52.0,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,5120.0,70.0,630,45,1059860.0
257,258,Mudkip,Marshtomp,Water,-,"['Torrent', 'Damp']",2,"Water, -",3.0,0.0,70,50,50,50,50,40,0.4,7.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,310,45,1059860.0
258,259,Marshtomp,Final Form,Water,Ground,"['Torrent', 'Damp']",2,"Water, Ground",3.0,0.0,85,70,70,60,70,50,0.7,28.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,5120.0,70.0,405,45,1059860.0
259,260,Swampert,Swampert,Water,Ground,"['Torrent', 'Damp']",2,"Water, Ground",3.0,0.0,150,110,100,95,110,70,1.5,81.9,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,5120.0,70.0,635,45,1059860.0
260,261,Poochyena,Mightyena,Dark,-,"['Run Away', 'Quick Feet', 'Rattled']",3,"Dark, -",3.0,0.0,55,35,35,30,30,35,0.5,13.6,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3840.0,70.0,220,255,1000000.0
261,262,Mightyena,Final Form,Dark,-,"['Intimidate', 'Quick Feet', 'Moxie']",3,"Dark, -",3.0,0.0,90,70,70,60,60,70,1.0,37.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3840.0,70.0,420,127,1000000.0
262,263,Zigzagoon,Linoone,Normal,-,"['Pickup', 'Gluttony', 'Quick Feet']",3,"Normal, -",3.0,0.0,30,41,38,30,41,60,0.4,17.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,240,255,1000000.0
263,264,Linoone,Final Form,Normal,-,"['Pickup', 'Gluttony', 'Quick Feet']",3,"Normal, -",3.0,0.0,70,61,78,50,61,100,0.5,32.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,420,90,1000000.0
264,265,Wurmple,Silcoon,Bug,-,"['Shield Dust', 'Run Away']",2,"Bug, -",3.0,0.0,45,35,45,20,30,20,0.3,3.6,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,195,255,1000000.0
265,266,Silcoon,Final Form,Bug,-,['Shed Skin'],1,"Bug, -",3.0,0.0,35,55,50,25,25,15,0.6,10.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,205,120,1000000.0
266,267,Beautifly,Final Form,Bug,Flying,"['Swarm', 'Rivalry']",2,"Bug, Flying",3.0,0.0,70,50,60,100,50,65,1.0,28.4,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3840.0,70.0,395,45,1000000.0
267,268,Cascoon,Final Form,Bug,-,['Shed Skin'],1,"Bug, -",3.0,0.0,35,55,50,25,25,15,0.7,11.5,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,205,120,1000000.0
268,269,Dustox,Final Form,Bug,Poison,"['Shield Dust', 'Compoundeyes']",2,"Bug, Poison",3.0,0.0,50,70,60,50,90,65,1.2,31.6,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840.0,70.0,385,45,1000000.0
269,270,Lotad,Lombre,Water,Grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",3,"Water, Grass",3.0,0.0,30,30,40,40,50,30,0.5,2.6,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,3840.0,70.0,220,255,1059860.0
270,271,Lombre,Ludicolo,Water,Grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",3,"Water, Grass",3.0,0.0,50,50,60,60,70,50,1.2,32.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,3840.0,70.0,340,120,1059860.0
271,272,Ludicolo,Final Form,Water,Grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",3,"Water, Grass",3.0,0.0,70,70,80,90,100,70,1.5,55.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,3840.0,70.0,480,45,1059860.0
272,273,Seedot,Nuzleaf,Grass,-,"['Chlorophyll', 'Early Bird', 'Pickpocket']",3,"Grass, -",3.0,0.0,40,50,40,30,30,30,0.5,4.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,3840.0,70.0,220,255,1059860.0
273,274,Nuzleaf,Shiftry,Grass,Dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",3,"Grass, Dark",3.0,0.0,70,40,70,60,40,60,1.0,28.0,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,3840.0,70.0,340,120,1059860.0
274,275,Shiftry,Final Form,Grass,Dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",3,"Grass, Dark",3.0,0.0,100,60,90,90,60,80,1.3,59.6,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,3840.0,70.0,480,45,1059860.0
275,276,Taillow,Swellow,Normal,Flying,"['Guts', 'Scrappy']",2,"Normal, Flying",3.0,0.0,55,30,40,30,30,85,0.3,2.3,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,270,200,1059860.0
276,277,Swellow,Final Form,Normal,Flying,"['Guts', 'Scrappy']",2,"Normal, Flying",3.0,0.0,85,60,60,75,50,125,0.7,19.8,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,455,45,1059860.0
277,278,Wingull,Pelipper,Water,Flying,"['Keen Eye', 'Hydration', 'Rain Dish']",3,"Water, Flying",3.0,0.0,30,30,40,55,30,85,0.6,9.5,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,5120.0,70.0,270,190,1000000.0
278,279,Pelipper,Final Form,Water,Flying,"['Keen Eye', 'Drizzle', 'Rain Dish']",3,"Water, Flying",3.0,0.0,50,100,60,95,70,65,1.2,28.0,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,5120.0,70.0,440,45,1000000.0
279,280,Ralts,Kirlia,Psychic,Fairy,"['Synchronize', 'Trace', 'Telepathy']",3,"Psychic, Fairy",3.0,0.0,25,25,28,45,35,40,0.4,6.6,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,5120.0,35.0,198,235,1250000.0
280,281,Kirlia,Gardevoir,Psychic,Fairy,"['Synchronize', 'Trace', 'Telepathy']",3,"Psychic, Fairy",3.0,0.0,35,35,38,65,55,50,0.8,20.2,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,5120.0,35.0,278,120,1250000.0
281,282,Gardevoir,Final Form,Psychic,Fairy,"['Synchronize', 'Trace', 'Telepathy']",3,"Psychic, Fairy",3.0,0.0,85,65,68,165,135,100,1.6,48.4,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,5120.0,35.0,618,45,1250000.0
282,283,Surskit,Masquerain,Bug,Water,"['Swift Swim', 'Rain Dish']",2,"Bug, Water",3.0,0.0,30,32,40,50,52,65,0.5,1.7,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,3840.0,70.0,269,200,1000000.0
283,284,Masquerain,Final Form,Bug,Flying,"['Intimidate', 'Unnerve']",2,"Bug, Flying",3.0,0.0,60,62,70,100,82,80,0.8,3.6,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3840.0,70.0,454,75,1000000.0
284,285,Shroomish,Breloom,Grass,-,"['Effect Spore', 'Poison Heal', 'Quick Feet']",3,"Grass, -",3.0,0.0,40,60,60,40,60,35,0.4,4.5,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,3840.0,70.0,295,255,1640000.0
285,286,Breloom,Final Form,Grass,Fighting,"['Effect Spore', 'Poison Heal', 'Technician']",3,"Grass, Fighting",3.0,0.0,130,80,60,60,60,70,1.2,39.2,1.0,0.5,1.0,0.5,2.0,1.0,2.0,4.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5,3840.0,70.0,460,90,1640000.0
286,287,Slakoth,Vigoroth,Normal,-,['Truant'],1,"Normal, -",3.0,0.0,60,60,60,35,35,30,0.8,24.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,280,255,1250000.0
287,288,Vigoroth,Slaking,Normal,-,['Vital Spirit'],1,"Normal, -",3.0,0.0,80,80,80,55,55,90,1.4,46.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,440,120,1250000.0
288,289,Slaking,Final Form,Normal,-,['Truant'],1,"Normal, -",3.0,0.0,160,100,150,95,65,100,2.0,130.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,670,45,1250000.0
289,290,Nincada,Ninjask,Bug,Ground,"['Compoundeyes', 'Run Away']",2,"Bug, Ground",3.0,0.0,45,90,31,30,30,40,0.5,5.5,1.0,1.0,1.0,0.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,2.0,3840.0,70.0,266,255,600000.0
290,291,Ninjask,Shedinja,Bug,Flying,"['Speed Boost', 'Infiltrator']",2,"Bug, Flying",3.0,0.0,90,45,61,50,50,160,0.8,12.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3840.0,70.0,456,120,600000.0
291,292,Shedinja,Final Form,Bug,Ghost,['Wonder Guard'],1,"Bug, Ghost",3.0,0.0,90,45,1,30,30,40,0.8,1.2,0.5,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.5,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0,3840.0,70.0,236,45,600000.0
292,293,Whismur,Loudred,Normal,-,"['Soundproof', 'Rattled']",2,"Normal, -",3.0,0.0,51,23,64,51,23,28,0.6,16.3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120.0,70.0,240,190,1059860.0
293,294,Loudred,Exploud,Normal,-,"['Soundproof', 'Scrappy']",2,"Normal, -",3.0,0.0,71,43,84,71,43,48,1.0,40.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120.0,70.0,360,120,1059860.0
294,295,Exploud,Final Form,Normal,-,"['Soundproof', 'Scrappy']",2,"Normal, -",3.0,0.0,91,63,104,91,73,68,1.5,84.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120.0,70.0,490,45,1059860.0
295,296,Makuhita,Hariyama,Fighting,-,"['Thick Fat', 'Guts', 'Sheer Force']",3,"Fighting, -",3.0,0.0,60,30,72,20,30,25,1.0,86.4,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,237,180,1640000.0
296,297,Hariyama,Final Form,Fighting,-,"['Thick Fat', 'Guts', 'Sheer Force']",3,"Fighting, -",3.0,0.0,120,60,144,40,60,50,2.3,253.8,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,474,200,1640000.0
297,298,Azurill,Marill,Normal,Fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",3,"Normal, Fairy",3.0,0.0,20,40,50,20,40,20,0.2,2.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560.0,70.0,190,150,800000.0
298,299,Nosepass,Probopass,Rock,-,"['Sturdy', 'Magnet Pull', 'Sand Force']",3,"Rock, -",3.0,0.0,45,135,30,45,90,30,1.0,97.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,5120.0,70.0,375,255,1000000.0
299,300,Skitty,Delcatty,Normal,-,"['Cute Charm', 'Normalize', 'Wonder Skin ']",3,"Normal, -",3.0,0.0,45,45,50,35,35,50,0.6,11.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,260,255,800000.0
300,301,Delcatty,Final Form,Normal,-,"['Cute Charm', 'Normalize', 'Wonder Skin ']",3,"Normal, -",3.0,0.0,65,65,70,55,55,90,1.1,32.6,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,400,60,800000.0
301,302,Sableye,Final Form,Dark,Ghost,"['Keen Eye', 'Stall', 'Prankster']",3,"Dark, Ghost",3.0,0.0,85,125,50,85,115,20,0.5,11.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,6400.0,35.0,480,45,1059860.0
302,303,Mawile,Final Form,Steel,Fairy,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",3,"Steel, Fairy",3.0,0.0,105,125,50,55,95,50,0.6,11.5,0.25,0.5,0.0,1.0,0.5,1.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,5120.0,70.0,480,45,800000.0
303,304,Aron,Lairon,Steel,Rock,"['Sturdy', 'Rock Head', 'Heavy Metal']",3,"Steel, Rock",3.0,0.0,70,100,50,40,40,30,0.4,60.0,0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,8960.0,35.0,330,180,1250000.0
304,305,Lairon,Aggron,Steel,Rock,"['Sturdy', 'Rock Head', 'Heavy Metal']",3,"Steel, Rock",3.0,0.0,90,140,60,50,50,40,0.9,120.0,0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,8960.0,35.0,430,90,1250000.0
305,306,Aggron,Final Form,Steel,Rock,"['Sturdy', 'Rock Head', 'Heavy Metal']",3,"Steel, Rock",3.0,0.0,140,230,70,60,80,50,2.1,360.0,0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,8960.0,35.0,630,45,1250000.0
306,307,Meditite,Medicham,Fighting,Psychic,"['Pure Power', 'Telepathy']",2,"Fighting, Psychic",3.0,0.0,40,55,30,40,55,60,0.6,11.2,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,5120.0,70.0,280,180,1000000.0
307,308,Medicham,Final Form,Fighting,Psychic,"['Pure Power', 'Telepathy']",2,"Fighting, Psychic",3.0,0.0,100,85,60,80,85,100,1.3,31.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,5120.0,70.0,510,90,1000000.0
308,309,Electrike,Manectric,Electric,-,"['Static', 'Lightningrod', 'Minus']",3,"Electric, -",3.0,0.0,45,40,40,65,40,65,0.6,15.2,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,5120.0,70.0,295,120,1250000.0
309,310,Manectric,Final Form,Electric,-,"['Static', 'Lightningrod', 'Minus']",3,"Electric, -",3.0,0.0,75,80,70,135,80,135,1.5,40.2,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,5120.0,70.0,575,45,1250000.0
310,311,Plusle,Final Form,Electric,-,"['Plus', 'Lightningrod']",2,"Electric, -",3.0,0.0,50,40,60,85,75,95,0.4,4.2,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,5120.0,70.0,405,200,1000000.0
311,312,Minun,Final Form,Electric,-,"['Minus', 'Volt Absorb']",2,"Electric, -",3.0,0.0,40,50,60,75,85,95,0.4,4.2,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,5120.0,70.0,405,200,1000000.0
312,313,Volbeat,Final Form,Bug,-,"['Illuminate', 'Swarm', 'Prankster']",3,"Bug, -",3.0,0.0,73,75,65,47,85,85,0.7,17.7,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,430,150,600000.0
313,314,Illumise,Final Form,Bug,-,"['Oblivious', 'Tinted Lens', 'Prankster']",3,"Bug, -",3.0,0.0,47,75,65,73,85,85,0.6,17.7,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,430,150,1640000.0
314,315,Roselia,Final Form,Grass,Poison,"['Natural Cure', 'Poison Point', 'Leaf Guard']",3,"Grass, Poison",3.0,0.0,60,45,50,100,80,65,0.3,2.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,400,150,1059860.0
315,316,Gulpin,Swalot,Poison,-,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",3,"Poison, -",3.0,0.0,43,53,70,43,53,40,0.4,10.3,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,302,225,1640000.0
316,317,Swalot,Final Form,Poison,-,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",3,"Poison, -",3.0,0.0,73,83,100,73,83,55,1.7,80.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,467,75,1640000.0
317,318,Carvanha,Sharpedo,Water,Dark,"['Rough Skin', 'Speed Boost']",2,"Water, Dark",3.0,0.0,90,20,45,65,20,65,0.8,20.8,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,5120.0,35.0,305,225,1250000.0
318,319,Sharpedo,Final Form,Water,Dark,"['Rough Skin', 'Speed Boost']",2,"Water, Dark",3.0,0.0,140,70,70,110,65,105,1.8,88.8,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,5120.0,35.0,560,60,1250000.0
319,320,Wailmer,Wailord,Water,-,"['Water Veil', 'Oblivious', 'Pressure']",3,"Water, -",3.0,0.0,70,35,130,70,35,60,2.0,130.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,10240.0,70.0,400,125,1640000.0
320,321,Wailord,Final Form,Water,-,"['Water Veil', 'Oblivious', 'Pressure']",3,"Water, -",3.0,0.0,90,45,170,90,45,60,14.5,398.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,10240.0,70.0,500,60,1640000.0
321,322,Numel,Camerupt,Fire,Ground,"['Oblivious', 'Simple', 'Own Tempo']",3,"Fire, Ground",3.0,0.0,60,40,60,65,45,35,0.7,24.0,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0,5120.0,70.0,305,255,1000000.0
322,323,Camerupt,Final Form,Fire,Ground,"['Magma Armor', 'Solid Rock', 'Anger Point']",3,"Fire, Ground",3.0,0.0,120,100,70,145,105,20,1.9,220.0,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0,5120.0,70.0,560,150,1000000.0
323,324,Torkoal,Final Form,Fire,-,"['White Smoke', 'Drought', 'Shell Armor']",3,"Fire, -",3.0,0.0,85,140,70,85,70,20,0.5,80.4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,470,90,1000000.0
324,325,Spoink,Grumpig,Psychic,-,"['Thick Fat', 'Own Tempo', 'Gluttony']",3,"Psychic, -",3.0,0.0,25,35,60,70,80,60,0.7,30.6,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120.0,70.0,330,255,800000.0
325,326,Grumpig,Final Form,Psychic,-,"['Thick Fat', 'Own Tempo', 'Gluttony']",3,"Psychic, -",3.0,0.0,45,65,80,90,110,80,0.9,71.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120.0,70.0,470,60,800000.0
326,327,Spinda,Final Form,Normal,-,"['Own Tempo', 'Tangled Feet', 'Contrary']",3,"Normal, -",3.0,0.0,60,60,60,60,60,60,1.1,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,360,255,800000.0
327,328,Trapinch,Vibrava,Ground,-,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",3,"Ground, -",3.0,0.0,100,45,45,45,45,10,0.7,15.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120.0,70.0,290,255,1059860.0
328,329,Vibrava,Final Form,Ground,Dragon,['Levitate'],1,"Ground, Dragon",3.0,0.0,70,50,50,50,50,70,1.1,15.3,1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,5120.0,70.0,340,120,1059860.0
329,330,Flygon,Final Form,Ground,Dragon,['Levitate'],1,"Ground, Dragon",3.0,0.0,100,80,80,80,80,100,2.0,82.0,1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,5120.0,70.0,520,45,1059860.0
330,331,Cacnea,Cacturne,Grass,-,"['Sand Veil', 'Water Absorb']",2,"Grass, -",3.0,0.0,85,40,50,85,40,35,0.4,51.3,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,5120.0,35.0,335,190,1059860.0
331,332,Cacturne,Final Form,Grass,Dark,"['Sand Veil', 'Water Absorb']",2,"Grass, Dark",3.0,0.0,115,60,70,115,60,55,1.3,77.4,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,5120.0,35.0,475,60,1059860.0
332,333,Swablu,Altaria,Normal,Flying,"['Natural Cure', 'Cloud Nine']",2,"Normal, Flying",3.0,0.0,40,60,45,40,75,50,0.4,1.2,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5120.0,70.0,310,255,600000.0
333,334,Altaria,Final Form,Dragon,Flying,"['Natural Cure', 'Cloud Nine']",2,"Dragon, Flying",3.0,0.0,110,110,75,110,105,80,1.1,20.6,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,5120.0,70.0,590,45,600000.0
